"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 22:17:27 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701958743,0.246,0.169,98.280,1.305,0,5033164.800,32069222.400,7528.200,7513.800,0,0,110500052992,106817404928,4460695552,374038368256,5696.200,11384,5,1,7.200,1.820,1.250,2.240,4407582720,55590359040,0.200,0,0,226.600,102.400,10344,34176,1391055,0,0,1,100,29,1,129,0,12236,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,9952.800,16883.200,4357.200,0,0,0,0,0,271174,445,13249967,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21105593,0,739,1.000,86872963596,8590131.200,0,0,0,19,5
1701958748,0.254,0.177,98.317,1.252,0,5545984,20787200,7501.800,7513.800,0,0,110567559168,106571182080,4460695552,374306951168,5709.200,11600,2,1,8.600,1.920,1.280,2.250,4407582720,55590359040,0.200,0,0,241.800,76,10344,34176,1391068,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,10681.200,17829.600,4727.600,0,0,0,0,0,270902,445,13252830,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21116958,0,679,1.000,86918060556,9019392,0,0,0,19,5
1701958753,0.205,0.154,98.353,1.288,0,3226009.600,27554611.200,7472.800,7513.800,0,0,110648545280,106364743680,4460695552,374501199872,5632,11027.800,1,1,6.400,2,1.310,2.250,4407582720,55590359040,0,0,0,220.600,100.400,10344,34176,1391082,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,8686.600,13560,3720,0,0,0,0,0,270251,445,13252052,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21125769,0,740,1.000,86952827404,6953369.600,0,0,0,19,5
1701958758,0.217,0.169,98.115,1.500,0,3360358.400,26731315.200,7583.600,7524.600,0,0,110727213056,106163867648,4460695552,374695882752,5727,11290.400,8,2,6.400,2.080,1.330,2.260,4407582720,55590359040,0,0,0,228,92.400,10344,34176,1391095,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,8439.400,13545.200,3811.200,0,0,0,0,0,269786,445,13251384,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21134806,0,733,1.000,86987733516,6981222.400,0,0,0,17,5
1701958763,0.273,0.211,98.370,1.146,0,4548198.400,22151168,7448.800,7447.600,0,0,110829989888,105909596160,4460695552,374945771520,7412.400,11882.400,2,1,29.600,2,1.330,2.250,4407582720,55590359040,0,0,0,308.600,81,10344,34176,1391094,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,14653,19373.600,7010.800,0,0,0,0,0,269042,445,13250842,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21146958,0,745,1.000,87036271116,9707520,0,0,0,21,5
1701958768,0.204,0.175,98.166,1.454,0,2806579.200,29807411.200,7567.800,7513.800,0,0,110918164480,105694486528,4460695552,375146278912,5710.600,11326,2,1,6.400,2.160,1.370,2.260,4407582720,55590359040,0,0,0,229,108.400,10344,34176,1391100,0,0,1,100,29,1,129,0,12235,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0,8572.600,13792.400,3800.200,0,0,0,0,0,268577,445,13250911,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21156453,0,733,1.000,87073028620,7351500.800,0,0,0,17,5
1701958773,0.521,0.283,98.223,0.973,0,755302.400,37220352,53973.200,62368.600,0,0,111010902016,105448984576,4460695552,375384182784,6352.200,12539,2,0,11.600,2.390,1.430,2.270,4407582720,55590359040,0,0.200,0,51.200,109.400,10344,34176,1391197,0,0,1,100,29,1,129,0,12256,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,13999,19399.400,6815.600,0,0,0,0,0,267576,445,13245596,71235,31,0.030,21,0,1,5,0,0,2,2,1,2,2,19,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21167613,0,843,1.000,87119329804,9260236.800,5.400,4.800,0,55,5
1701958778,0.083,0.131,99.693,0.092,0,0,240844.800,7933.800,8121.800,0,0,111022321664,105436794880,4460695552,375384952832,4931.400,9798.200,3,0,7,2.190,1.410,2.260,4407582720,55590359040,0,0,0,0,25.200,10344,33984,1391198,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5194,4214.200,4068.600,0,0,0,0,0,267576,445,13244153,71235,31,0.030,21,0,1,5,0,0,22,22,20,22,22,20,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21167615,0,679,1.000,87119329804,0,0,0,0,19,5
1701958783,0.090,0.113,99.741,0.056,0,0,346521.600,7410.600,7435.800,0,0,111024422912,105434693632,4460695552,375384952832,4787.800,9607,5,0,7.800,2.020,1.390,2.250,4407582720,55590359040,0,0,0,0,31.800,10344,33984,1391198,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5383.200,4313.600,4252.800,0,0,0,0,0,267576,445,13243866,71235,31,0.030,21,0,1,5,0,0,22,22,21,22,22,20,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21167615,0,740,1.000,87119329804,0,0,0,0,19,5
1701958788,0.075,0.123,99.741,0.061,0,0,228556.800,7516.400,7515.200,0,0,111026454528,105432662016,4460695552,375384952832,4787.600,9594,3,0,6.800,1.860,1.360,2.240,4407582720,55590359040,0,0,0,0,27.600,10344,33984,1391194,0,0,1,100,29,1,129,0,12259,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,4397.200,3497.800,3603.800,0,0,0,0,0,267576,445,13243984,71235,31,0.030,21,19,20,5,1,20,22,22,21,22,22,20,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,21167615,0,733,1.000,87119329804,0,0,0,0,17,5
