"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 19:17:15 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701947931,3.172,0.261,96.015,0.551,0,129433.600,2194636.800,115550,134120,0,0,109907075072,106933477376,4460584960,373720870912,7776.200,13307.200,11,3,6.600,7.290,4.460,6.200,4407582720,55590359040,0,0,0,12.800,67,10344,32256,1391900,0,0,1,100,29,1,129,0,12266,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,5993.600,6680.400,6006.200,0,0,0,0,0,262962,445,13378313,71235,40,0.039,9,0,10,10,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17782108,0,740,1.000,85914221068,29491.200,137,356,18,123,5
1701947936,2.967,0.221,96.406,0.406,0,85196.800,1491763.200,88031.200,106133.400,0,0,109918380032,106920632320,4460584960,373730111488,7401.400,12635.800,13,1,8,8.070,4.670,6.250,4407582720,55590359040,0,0.200,0,10.200,64.800,10344,32064,1391896,0,0,1,100,29,1,129,0,12267,43,1,0,0,4,41,0,0,0,0,1,0,2,2,0,0,6562.800,6805.400,6292.200,0,0,0,0,0,262891,445,13377735,71235,40,0.039,9,0,10,9,0,0,1,1,0,11,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17783092,0,740,1.000,85914286604,13107.200,104.800,164.600,4.800,123,6
1701947941,1.047,0.392,97.735,0.826,0,204800,1836646.400,107432.600,125561.400,0,0,109897232384,106938699776,4460584960,373740122112,7054.200,13222.800,2,3,7.600,8.310,4.770,6.280,4407582720,55590359040,0,0,0,20,63,10344,32064,1391850,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6996,7327.400,8633,0,0,0,0,0,262675,445,13380994,71235,30,0.029,6,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17783996,0,365,1.000,85914450444,32768,130,298.800,14,122,5
1701947946,0.188,0.259,99.172,0.382,0,154009.600,1846476.800,93575.600,109070,0,0,109904560128,106929061888,4460584960,373750132736,6535,12795,1,2,6.800,8.040,4.780,6.270,4407582720,55590359040,0,0,0,13.400,68.800,10344,32064,1391856,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5661.400,6367,5807,0,0,0,0,0,262749,445,13379791,71235,30,0.029,4,0,0,3,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17784932,0,1096,1.000,85914556940,21299.200,118.600,230.400,8.800,125,8
1701947951,0.196,0.309,99.020,0.476,0,132710.400,1499136,98863.400,114966.400,0,0,109919125504,106914496512,4460584960,373758603264,6617,12863.400,2,1,6.400,7.880,4.800,6.270,4407582720,55590359040,0.200,0,0,14.200,67.400,10344,32064,1391859,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5778.800,6144.800,5693.400,0,0,0,0,0,262581,445,13380318,71235,30,0.029,2,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17785849,0,740,1.000,85914769932,42598.400,126.800,311.400,14.800,128,5
1701947956,0.204,0.259,99.055,0.482,0,155648,1832550.400,91981.600,109048,0,0,109929414656,106901897216,4460584960,373767073792,6468.200,12683,1,0,6.600,7.410,4.750,6.250,4407582720,55590359040,0,0,0,16.600,71.400,10344,32064,1391857,0,0,1,100,29,1,129,0,12256,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5681.600,6313.800,5838,0,0,0,0,0,262581,445,13379251,71235,30,0.029,5,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17786709,0,740,1.000,85914860044,18022.400,114,214.400,8.800,118,6
1701947961,0.200,0.254,98.868,0.678,0,147456,1655603.200,88591,104585.200,0,0,109936246784,106891984896,4460584960,373776314368,6475,12639.400,3,2,6.600,7.130,4.740,6.240,4407582720,55590359040,0,0,0,15.400,68,10344,32064,1391858,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5708.800,6190,5823.200,0,0,0,0,0,262581,445,13379563,71235,30,0.029,6,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17787465,0,703,1.000,85914991116,26214.400,110.600,203.200,6.800,121,5
1701947966,0.205,0.288,99.071,0.436,0,108134.400,1693286.400,98063.600,113804,0,0,109942788096,106883903488,4460584960,373784014848,6577.600,12829.800,1,0,7.200,6.800,4.710,6.220,4407582720,55590359040,0,0,0,12,67,10344,32064,1391852,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5372.400,6140.600,5798.600,0,0,0,0,0,262509,445,13379874,71235,30,0.029,2,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17788228,0,777,1.000,85915113996,24576,127.800,256,10.800,124,6
1701947971,0.206,0.248,99.212,0.334,0,88473.600,1335296,101913.200,119513.400,0,0,109952966656,106871414784,4460584960,373792149504,6631.800,12959,3,0,6.800,6.660,4.710,6.210,4407582720,55590359040,0,0,0,9.400,66.600,10344,32064,1391857,0,0,1,100,29,1,129,0,12256,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5738.400,6184.200,5777,0,0,0,0,0,262221,445,13377837,71235,30,0.029,4,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17788963,0,318,1.000,85915269644,31129.600,135.400,257,10,115,2
1701947976,0.211,0.298,99.128,0.363,0,135987.200,1705574.400,96765.800,110557.800,0,0,109959344128,106865807360,4460584960,373798309888,6693.800,12913.800,3,1,8.800,6.290,4.670,6.190,4407582720,55590359040,0,0.200,0,12.800,71.800,10344,32064,1391860,0,0,1,100,29,1,129,0,12259,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5974,6755.600,6298,0,0,0,0,0,262150,445,13378878,71235,30,0.029,4,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17789652,0,1064,1.000,85915392524,24576,113,305.600,14.800,128,8
